title,indegree,betweenness,hits,burst_weight,progeny_size
Differences in User Responses to a Wizard-of-Oz versus Automated System,0.0,0.0,0.0,0,0.0
Pattern Abstraction And Term Similarity For Word Sense Disambiguation: IRST At Senseval-3,0.0140086206897,0.000534268392398,0.000229805088731,0.0423074282328,0.00127551020408
Cats Rule and Dogs Drool!: Classifying Stance in Online Debate,0.010775862069,0.000744613977188,0.000380124329671,0.0371144609574,0.0
How To Invert A Natural Language Parser Into An Efficient Generator: An Algorithm For Logic Grammars,0.00754310344828,0.000247173402317,1.10681780782e-05,0.0382087971377,0.0
Comparing Lexical Relationships Observed within Japanese Collocation Data and Japanese Word Association Norms,0.0,0.0,0.0,0,0.0
Comparing Objective and Subjective Measures of Usability in a Human-Robot Dialogue System,0.0010775862069,0.0,5.72845739185e-07,0,0.000255102040816
A Geometric View On Bilingual Lexicon Extraction From Comparable Corpora,0.020474137931,0.000670674502395,0.00684164046491,0,0.00102040816327
Using the Multilingual Central Repository for Graph-Based Word Sense Disambiguation,0.0010775862069,0.0,3.55458182151e-05,0,0.000255102040816
Using Hypernymy Acquisition to Tackle (Part of) Textual Entailment,0.0,0.0,0.0,0,0.0
Parsing Noun Phrases in the Penn Treebank,0.00431034482759,0.000621713339388,0.000327179808042,0,0.0
An Approach To Sentence-Level Anaphora In Machine Translation,0.0,0.0,0.0,0,0.0
Assigning Polarity Scores to Reviews Using Machine Learning Techniques,0.00323275862069,1.3815320157e-06,8.26212717983e-06,0,0.0
Towards The Automatic Identification Of Adjectival Scales: Clustering Adjectives According To Meaning,0.0355603448276,0.00928582392787,0.00195941790942,0.0766072220917,0.0272959183673
HHMM-Based Chinese Lexical Analyzer ICTCLAS,0.0301724137931,0.00827638073214,0.00809477462205,0.0382624547566,0.0015306122449
Rapid Development Of Translation Tools: Application To Persian And Turkish,0.0,0.0,0.0,0,0.0
Language Acquisition As Learning,0.0010775862069,0.0,2.08208689874e-07,0,0.000255102040816
On Customizing Prosody In Speech Synthesis: Names And Addresses As A Case In Point,0.0010775862069,0.0,1.35251797935e-06,0,0.000255102040816
Turker-Assisted Paraphrasing for English-Arabic Machine Translation,0.0010775862069,0.0,0.000561203540898,0,0.00127551020408
Acquiring entailment pairs across languages and domains: A Data Analysis,0.0010775862069,0.0,0.000909612296364,0,0
The Impact of Query Refinement in the Web People Search Task,0.0,0.0,0.0,0,0.0
FLSA: Extending Latent Semantic Analysis With Features For Dialogue Act Classification,0.00646551724138,0.000890237128514,0.000722040249834,0,0.0
Enriching Morphologically Poor Languages for Statistical Machine Translation,0.0183189655172,0.00158961885528,0.0141384145742,0.0339343023334,0.0
Alignment Link Projection Using Transformation-Based Learning,0.00215517241379,6.74152805439e-06,0.00322962538703,0,0.0
Unsupervised Metaphor Identification Using Hierarchical Graph Factorization Clustering,0.0,0.0,0.0,0,0.0
Can Machine Learning Algorithms Improve Phrase Selection in Hybrid Machine Translation?,0.0,0.0,0.0,0,0.0
MISTRAL: a Statistical Machine Translation Decoder for Speech Recognition Lattices,0.0,0.0,0.0,0,0.0
Dialect MT: A Case Study between Cantonese and Mandarin,0.0010775862069,0.0,0.00161014754121,0,0.000510204081633
Constraints On The Use Of Language Gesture And Speech For Multimodal Dialogues,0.0010775862069,0.0,2.33675612415e-06,0,0.000510204081633
Automatically generated NE tagged corpora for English and Hungarian,0.0,0.0,0.0,0,0.0
ETS: Discriminative Edit Models for Paraphrase Scoring,0.00323275862069,2.46152458465e-05,0.000447614460778,0,0.0
Apportioning Development Effort In A Probabilistic LR Parsing System Through Evaluation,0.0118534482759,0.000737976796533,0.000481520402878,0.0398658247005,0.0
Mining Co-Occurrence Matrices for SO-PMI Paradigm Word Candidates,0.0,0.0,0.0,0,0.0
Using character overlap to improve language transformation,0.0,0.0,0.0,0,0.0
Une Representation Semantique Et Un Systeme De Transfert Pour Une Traduction De Haute Qualite. Presentation De Projet Avec Demonstration Sur Machines SUN,0.0,0.0,0.0,0,0.0
Towards Ontology-Based Natural Language Processing,0.00323275862069,0.0020449612379,0.0001357740683,0,0
Conceptual Taxonomy Of Japanese Verbs For Understanding Natural Language And Picture Patterns,0.0010775862069,0.0,1.56336789017e-106,0,0.000255102040816
Extraction Of Translation Unit From Chinese-English Parallel Corpora,0.00431034482759,0.00017286275372,0.00107598310257,0,0.000255102040816
Translating English Into Logical Form,0.00862068965517,0.00106034079986,2.33951288155e-06,0.0461811131017,0.000510204081633
JU_CSE_NLP: Language Independent Cross-lingual Textual Entailment System,0.0010775862069,0.0,0.00014362162761,0,0.0
Bitext Maps And Alignment Via Pattern Recognition,0.0290948275862,0.00204087740258,0.0116548170495,0.0378958162806,0.00229591836735
The Local Organization Of Text,0.00431034482759,1.43283981135e-07,4.28484431577e-06,0,0.0
Chinese Word Segmentation Based On Maximum Matching And Word Binding Force,0.00646551724138,0.000141179212912,3.74532002954e-05,0,0.000510204081633
Some Computational Aspects Of Situation Semantics,0.0010775862069,0.0,3.49885556056e-11,0,0.000255102040816
Combining Generative and Discriminative Model Scores for Distant Supervision,0.0,0.0,0.0,0,0.0
Baselines and Bigrams: Simple Good Sentiment and Topic Classification,0.00323275862069,0.000124621868891,3.77488318634e-05,0,0.0
Efficient Parsing For Bilexical Context-Free Grammars And Head Automaton Grammars,0.0506465517241,0.00632536460801,0.0109783795207,0.0406532370481,0.0
Evaluating Summaries And Answers: Two Sides Of The Same Coin?,0.00215517241379,1.1456053015e-05,2.34931612984e-05,0,0.0
Bypassed alignment graph for learning coordination in Japanese sentences,0.0,0.0,0.0,0,0.0
Automatic Generation of Tamil Lyrics for Melodies,0.00538793103448,0.000132642567383,0.00197002000486,0,0.000510204081633
Learning Probabilistic Paradigms For Morphology In A Latent Class Model,0.00646551724138,0.000500262519645,7.47596182932e-05,0,0.000255102040816
Information Extraction Overview,0.0,0.0,0.0,0,0.0
Collecting a Why-Question Corpus for Development and Evaluation of an Automatic QA-System,0.00215517241379,6.51837010179e-06,2.63695223643e-05,0,0.0
High Efficiency Realization for a Wide-Coverage Unification Grammar,0.010775862069,0.00157887817809,0.00133149335262,0,0.000255102040816
Japanese Dependency Parsing Using a Tournament Model,0.00323275862069,2.12174783202e-05,0.000172387602401,0,0.000510204081633
Using Question Series To Evaluate Question Answering System Effectiveness,0.00538793103448,2.01828676533e-05,3.09580416074e-05,0,0.0
Variational Inference for Grammar Induction with Prior Knowledge,0.00215517241379,3.76739545424e-06,0.00025615145894,0,0.0
