Building A Large Annotated Corpus Of English: The Penn Treebank,0.0379245884018
Bleu: A Method For Automatic Evaluation Of Machine Translation,0.0233553050072
Accurate Unlexicalized Parsing,0.0166131144655
The Mathematics Of Statistical Machine Translation: Parameter Estimation,0.0154853429931
Attention Intentions And The Structure Of Discourse,0.0143444417477
A Systematic Comparison Of Various Statistical Alignment Models,0.0128963997236
A Maximum Entropy Approach To Natural Language Processing,0.0109622517607
Moses: Open Source Toolkit for Statistical Machine Translation,0.010267416458
Minimum Error Rate Training In Statistical Machine Translation,0.00813289707448
Automatic Retrieval and Clustering of Similar Words,0.00799680221376
Word Association Norms Mutual Information And Lexicography,0.00772469262893
The Berkeley FrameNet Project,0.00740829680473
Discriminative Training Methods For Hidden Markov Models: Theory And Experiments With Perceptron Algorithms,0.00734743584056
Assessing Agreement On Classification Tasks: The Kappa Statistic,0.00722837971717
Coarse-To-Fine N-Best Parsing And MaxEnt Discriminative Reranking,0.00708560464888
Class-Based N-Gram Models Of Natural Language,0.00700820814531
Unsupervised Word Sense Disambiguation Rivaling Supervised Methods,0.00664828069245
A Maximum-Entropy-Inspired Parser,0.00660778098677
Statistical Phrase-Based Translation,0.0059655905709
The Proposition Bank: An Annotated Corpus Of Semantic Roles,0.00575534949888
Centering: A Framework For Modeling The Local Coherence Of Discourse,0.00541939180192
Feature-Rich Part-Of-Speech Tagging With A Cyclic Dependency Network,0.0053169581469
Accurate Methods For The Statistics Of Surprise And Coincidence,0.0050093563736
A Maximum Entropy Model For Part-Of-Speech Tagging,0.00499264639364
Three Generative Lexicalized Models For Statistical Parsing,0.00479638526232
Incorporating Non-Local Information Into Information Extraction Systems By Gibbs Sampling,0.00458687371813
A Stochastic Parts Program And Noun Phrase Parser For Unrestricted Text,0.00448151591166
Automatic Acquisition Of Hyponyms From Large Text Corpora,0.00437825802077
Transformation-Based-Error-Driven Learning And Natural Language Processing: A Case Study In Part-Of-Speech Tagging,0.00426744584334
Automatic Labeling Of Semantic Roles,0.00406531613578
A Statistical Approach To Machine Translation,0.00382350439519
Distributional Clustering Of English Words,0.00372824188683
TnT - A Statistical Part-Of-Speech Tagger,0.00352801237404
Text Chunking Using Transformation-Based Learning,0.00318705043742
Cheap and Fast â But is it Good? Evaluating Non-Expert Annotations for Natural Language Tasks,0.00313983231314
The Penn Treebank: Annotating Predicate Argument Structure,0.00297911845374
CoNLL-X Shared Task On Multilingual Dependency Parsing,0.00296022631227
Thumbs Up? Sentiment Classification Using Machine Learning Techniques,0.00289675443127
Semantic-Head-Driven Generation,0.00287491772824
Recognizing Contextual Polarity In Phrase-Level Sentiment Analysis,0.00276147364634
The Generative Lexicon,0.00274798991571
Providing A Unified Account Of Definite Noun Phrases In Discourse,0.0026831836218
Automatic Evaluation Of Summaries Using N-Gram Co-Occurrence Statistics,0.00267658796369
Improved Inference for Unlexicalized Parsing,0.00264450242884
Improved Statistical Alignment Models,0.00259575525427
A Simple Rule-Based Part Of Speech Tagger,0.00250635364766
Statistical Significance Tests For Machine Translation Evaluation,0.00247001311038
